[2025-04-13 18:29:01] Judge: sarim | Action: ERROR | Details: Error loading manage teams page: Could not build url for endpoint 'add_team'. Did you mean 'admin_add_team' instead?
[2025-04-13 18:31:00] Judge: sarim | Action: ERROR | Details: Error loading admin leaderboard: no such column: t.total_points
[2025-04-13 18:31:00] Judge: sarim | Action: ERROR | Details: Error loading manage teams page: Could not build url for endpoint 'add_team'. Did you mean 'admin_add_team' instead?
[2025-04-13 18:33:43] Judge: sarim | Action: ERROR | Details: Error loading manage teams page: Could not build url for endpoint 'add_team'. Did you mean 'admin_add_team' instead?
[2025-04-13 18:38:16] Judge: sarim | Action: LOGIN | Details: Successful login
[2025-04-13 18:39:39] Judge: sarim | Action: SAVE_SCORES | Details: Saved 4 scores
[2025-04-13 18:40:41] Judge: sarim | Action: ERROR | Details: Error loading admin leaderboard: no such column: t.total_points
[2025-04-14 21:38:38] Judge: sarim | Action: LOGIN | Details: Successful login
[2025-04-14 21:39:30] Judge: sarim | Action: SAVE_SCORES | Details: Saved 2 scores
[2025-04-14 21:39:36] Judge: sarim | Action: SAVE_SCORES | Details: Saved 2 scores
[2025-04-14 21:39:41] Judge: sarim | Action: SAVE_SCORES | Details: Saved 2 scores
